,,minutes,total_points,was_home,opponent_team,appearances,id,team_code,web_name,element_type,target,target_minutes,target_home,target_team,gameweek,total_points_mean3,minutes_mean3,appearances_mean3,total_points_mean10,minutes_mean10,appearances_mean10,total_points_mean5,minutes_mean5,appearances_mean5,total_points_mean_all,minutes_sum_all,total_points_sum_all,was_home_sum_all,opponent_team_sum_all,appearances_sum_all
0,1,0.0,0.0,1.0,9.0,0.0,1,3,Ospina,1,0.0,0.0,0.0,8.0,1,,,,,,,,,,0.0,0.0,0.0,1.0,9.0,0.0
0,2,0.0,0.0,0.0,8.0,0.0,1,3,Ospina,1,0.0,0.0,0.0,18.0,2,,,,,,,,,,0.0,0.0,0.0,1.0,17.0,0.0
0,3,0.0,0.0,0.0,18.0,0.0,1,3,Ospina,1,0.0,0.0,1.0,13.0,3,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,1.0,35.0,0.0
0,4,0.0,0.0,1.0,13.0,0.0,1,3,Ospina,1,0.0,0.0,0.0,7.0,4,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,2.0,48.0,0.0
0,5,0.0,0.0,0.0,7.0,0.0,1,3,Ospina,1,0.0,0.0,1.0,4.0,5,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,55.0,0.0
0,6,0.0,0.0,1.0,4.0,0.0,1,3,Ospina,1,0.0,0.0,0.0,3.0,6,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,3.0,59.0,0.0
0,7,0.0,0.0,0.0,3.0,0.0,1,3,Ospina,1,0.0,0.0,1.0,16.0,7,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,3.0,62.0,0.0
0,8,0.0,0.0,1.0,16.0,0.0,1,3,Ospina,1,0.0,0.0,1.0,12.0,8,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,4.0,78.0,0.0
0,9,0.0,0.0,1.0,12.0,0.0,1,3,Ospina,1,0.0,0.0,0.0,15.0,9,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,90.0,0.0
0,10,0.0,0.0,0.0,15.0,0.0,1,3,Ospina,1,0.0,0.0,1.0,17.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,105.0,0.0
