id,_id,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,ea_index,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id,in_dreamteam,influence,loaned_in,loaned_out,loans_in,loans_out,minutes,news,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
1,590481173863452abf32c3ca,0,0,18,75.0,0.0,0,48844,0,0,-3,3,0.0,0,56,1,-0.1,0.0,0,David,0.4,4,0,2.9,1,False,28.8,0,0,0,0,143,Back injury - 75% chance of playing,47,0,0,0,48844.jpg,1.0,0,4,Ospina,0.2,False,13.0,d,1,3,0.0,2,3384,14,7754,97,0.1,0.4,Ospina,0
2,590481173863452abf32c3cb,0,0,515,100.0,100.0,9,11334,0,0,-2,2,0.1,0,409,1,1.5,2.5,7,Petr,2.0,33,0,63.1,2,False,630.8,0,0,0,0,2557,,53,1,0,0,11334.jpg,3.5,0,88,Cech,11.3,False,33.0,a,1,3,0.0,101,307828,10608,573699,3586,0.4,19.1,Cech,2
3,590481173863452abf32c3cc,1,19,665,75.0,100.0,9,51507,0,0,1,-1,41.0,3,493,2,0.8,2.1,6,Laurent,1.6,33,2,103.7,3,False,756.6,0,0,0,0,2538,Knee injury - 75% chance of playing,61,0,0,0,51507.jpg,4.0,0,0,Koscielny,11.1,False,6.0,d,1,3,237.0,115,907175,3563,805739,7175,0.3,18.9,Koscielny,3
4,590481173863452abf32c3cd,0,0,0,100.0,100.0,0,17127,0,0,-2,2,0.0,0,265,2,-0.5,0.5,0,Per,0.0,0,0,0.0,4,False,0.0,0,0,0,0,0,,48,0,0,0,17127.jpg,0.0,0,0,Mertesacker,0.2,False,4.0,a,1,3,0.0,0,1921,41,5744,40,0.0,0.0,Mertesacker,0
5,590481173863452abf32c3ce,0,2,288,100.0,100.0,5,158074,0,0,-2,2,83.4,0,244,2,2.9,3.9,6,Gabriel Armando,3.4,16,0,46.9,5,False,274.0,0,0,0,0,1391,,48,0,0,0,158074.jpg,2.6,0,0,de Abreu,0.8,False,5.0,a,1,3,111.0,45,64149,16047,43454,1443,0.7,9.4,Gabriel,4
6,590481173863452abf32c3cf,3,11,469,100.0,100.0,9,98745,0,0,0,0,409.7,1,541,2,2.5,3.5,7,Héctor,3.0,32,0,103.6,6,False,324.4,0,0,0,0,2155,,65,0,0,0,98745.jpg,3.5,0,0,Bellerín,13.8,False,24.0,a,1,3,305.0,95,386422,1930,1014612,2678,0.5,14.6,Bellerín,2
7,590481173863452abf32c3d0,1,2,114,100.0,100.0,3,42427,0,0,-3,3,141.3,0,69,2,1.1,2.1,8,Kieran,1.6,1,0,31.3,7,False,98.6,0,0,0,0,364,,47,0,0,0,42427.jpg,3.6,0,0,Gibbs,0.5,False,3.0,a,1,3,73.0,25,8594,439,24349,106,0.3,5.3,Gibbs,3
8,590481173863452abf32c3d1,0,0,2,100.0,100.0,0,27334,0,0,-4,4,1.4,0,11,2,-0.5,0.5,0,Mathieu,0.0,0,0,0.2,8,False,1.0,0,0,0,0,15,,46,0,0,0,27334.jpg,1.0,0,0,Debuchy,0.2,False,2.0,a,1,3,0.0,1,2084,23,10623,23,0.0,0.2,Debuchy,0
9,590481173863452abf32c3d2,0,0,12,100.0,100.0,0,80254,0,0,-2,2,2.0,0,178,2,-0.5,0.5,0,Carl,0.0,1,0,2.1,9,False,19.4,0,0,0,0,82,,48,0,0,0,80254.jpg,2.0,0,0,Jenkinson,0.1,False,25.0,a,1,3,0.0,2,9695,3,10000,10,0.0,0.4,Jenkinson,0
10,590481173863452abf32c3d3,3,9,573,100.0,100.0,8,38411,0,0,-2,2,254.8,1,511,2,3.9,4.9,12,Nacho,4.4,39,0,91.4,10,False,461.0,0,0,0,0,2613,,58,0,0,0,38411.jpg,3.1,0,0,Monreal,3.6,False,18.0,a,1,3,196.0,94,157521,16686,253288,2221,0.8,16.2,Monreal,3
11,590481173863452abf32c3d4,1,6,428,100.0,100.0,7,101184,0,0,-2,2,95.1,0,70,2,0.0,2.0,6,Calum,1.0,27,1,70.3,11,False,555.0,0,0,0,0,1890,,43,0,0,0,101184.jpg,3.4,0,0,Chambers,3.4,False,25.0,a,12,25,52.0,72,299412,2174,310230,3186,0.2,16.7,Chambers,4
