web_name,Unnamed: 0,Unnamed: 1,minutes,total_points,was_home,opponent_team,appearances,target_home,gameweek,total_points_mean3,minutes_mean3,appearances_mean3,total_points_mean10,minutes_mean10,appearances_mean10,total_points_mean5,minutes_mean5,appearances_mean5,total_points_mean_all,minutes_sum_all,total_points_sum_all,was_home_sum_all,opponent_team_sum_all,appearances_sum_all,opponent_1,opponent_2,opponent_3,opponent_4,opponent_5,opponent_6,opponent_7,opponent_8,opponent_9,opponent_10,opponent_11,opponent_12,opponent_13,opponent_14,opponent_15,opponent_16,opponent_17,opponent_18,opponent_19,opponent_20,opponent_999,team_1,team_3,team_6,team_8,team_11,team_13,team_14,team_20,team_21,team_25,team_31,team_35,team_43,team_56,team_57,team_80,team_88,team_90,team_91,team_110,position_1,position_2,position_3,position_4,target
Cech,1.0,34.0,90.0,8.0,1.0,11.0,1.0,0.0,34.0,6.333333333333332,90.0,1.0,3.3,57.7,0.7,4.4,72.0,0.8,3.53125,2737.0,113.0,17.0,370.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0
Gibbs,6.0,34.0,90.0,6.0,1.0,11.0,1.0,0.0,34.0,5.0,82.33333333333333,1.0,2.0,33.7,0.4,3.0,49.4,0.6,3.2,544.0,32.0,17.0,370.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0
Monreal,9.0,34.0,90.0,6.0,1.0,11.0,1.0,0.0,34.0,6.0,90.0,1.0,3.0,81.0,0.9,4.2,90.0,1.0,3.0303030303030303,2793.0,100.0,17.0,370.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0
Chambers,10.0,34.0,90.0,6.0,1.0,15.0,1.0,1.0,34.0,2.0,60.0,0.6666666666666666,1.3,27.0,0.3,1.2,36.0,0.4,3.272727272727273,1890.0,72.0,17.0,347.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0
Sánchez,11.0,34.0,90.0,3.0,1.0,11.0,1.0,0.0,34.0,2.333333333333333,90.0,1.0,4.9,84.1,1.0,3.2,89.8,1.0,6.2,2894.0,217.0,17.0,370.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0
Özil,13.0,34.0,90.0,3.0,1.0,11.0,1.0,0.0,34.0,2.6666666666666665,90.0,1.0,4.2,71.9,0.8,4.0,89.8,1.0,4.733333333333333,2491.0,142.0,17.0,370.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0
Ramsey,15.0,34.0,90.0,3.0,1.0,11.0,1.0,0.0,34.0,2.0,65.33333333333333,1.0,1.5,41.8,0.7,2.4,63.6,1.0,1.65,974.0,33.0,17.0,370.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0
Xhaka,23.0,34.0,75.0,11.0,1.0,11.0,1.0,0.0,34.0,5.0,76.33333333333333,1.0,3.4,76.9,0.9,4.6,81.8,1.0,2.586206896551724,2152.0,75.0,17.0,370.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
Welbeck,25.0,34.0,83.0,6.0,1.0,11.0,1.0,0.0,34.0,2.6666666666666665,44.0,1.0,2.2,51.2,0.9,1.8,38.2,0.8,1.9230769230769231,549.0,25.0,17.0,370.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
Boruc,28.0,34.0,90.0,6.0,1.0,12.0,1.0,0.0,34.0,4.0,90.0,1.0,4.6,90.0,1.0,4.6,90.0,1.0,3.333333333333333,2880.0,110.0,17.0,376.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,7.0
Francis,30.0,34.0,90.0,6.0,1.0,12.0,1.0,0.0,34.0,2.333333333333333,90.0,1.0,2.2,65.2,0.8,2.8,90.0,1.0,2.4838709677419355,2578.0,77.0,17.0,376.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,8.0
Steve Cook,31.0,34.0,90.0,6.0,1.0,12.0,1.0,0.0,34.0,2.333333333333333,90.0,1.0,3.1,90.0,1.0,3.6,90.0,1.0,2.8857142857142857,3060.0,101.0,17.0,376.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,6.0
